0.01	2.879976110e-2003
0.01	2.879976110e-2005
0.01	2.879976110e-2007
0.01	2.879976110e-2009
0.01	2.879976110e-2011
0.01	2.879976110e-2013
0.01	2.879976110e-2015
0.01	2.879976110e-2017
0.01	2.879976110e-2019
0.01	2.879976110e-2021
0.01	2.879976110e-2023
0.01	2.879976110e-2025
0.01	2.879976110e-2027
0.01	2.879976110e-2029
0.01	2.879976110e-2031
0.01	2.879976110e-2033
0.01	2.879976110e-2035
0.01	2.879976110e-2037
0.01	2.879976110e-2039
0.01	2.879976110e-2041
0.01	2.879976110e-2043
0.01	2.879976110e-2045
0.01	2.879976110e-2047
0.01	2.879976110e-2049
0.01	2.879976110e-2051
0.01	2.879976110e-2053
0.01	2.879976110e-2055
0.01	2.879976110e-2057
0.01	2.879976110e-2059
0.01	2.879976110e-2061
0.01	2.879976110e-2063
0.01	2.879976110e-2065
0.01	2.879976110e-2067
0.01	2.879976110e-2069
0.01	2.879976110e-2071
0.01	2.879976110e-2073
0.01	2.879976110e-2075
0.01	2.879976110e-2077
0.01	2.879976110e-2079
0.01	2.879976110e-2081
0.01	2.879976110e-2083
0.01	2.879976110e-2085
0.01	2.879976110e-2087
0.01	2.879976110e-2089
0.01	2.879976110e-2091
0.01	2.879976110e-2093
0.01	2.879976110e-2095
0.01	2.879976110e-2097
0.01	2.879976110e-2099
0.01	2.879976110e-2101
0.01	2.879976110e-2103
0.01	2.879976110e-2105
0.01	2.879976110e-2107
0.01	2.879976110e-2109
0.01	2.879976110e-2111
0.01	2.879976110e-2113
0.01	2.879976110e-2115
0.01	2.879976110e-2117
0.01	2.879976110e-2119
0.01	2.879976110e-2121
0.01	2.879976110e-2123
0.01	2.879976110e-2125
0.01	2.879976110e-2127
0.01	2.879976110e-2129
0.01	2.879976110e-2131
0.01	2.879976110e-2133
0.01	2.879976110e-2135
0.01	2.879976110e-2137
0.01	2.879976110e-2139
0.01	2.879976110e-2141
0.01	2.879976110e-2143
0.01	2.879976110e-2145
0.01	2.879976110e-2147
0.01	2.879976110e-2149
0.01	2.879976110e-2151
0.01	2.879976110e-2153
0.01	2.879976110e-2155
0.01	2.879976110e-2157
0.01	2.879976110e-2159
0.01	2.879976110e-2161
0.01	2.879976110e-2163
0.01	2.879976110e-2165
0.01	2.879976110e-2167
0.01	2.879976110e-2169
0.01	2.879976110e-2171
0.01	2.879976110e-2173
0.01	2.879976110e-2175
0.01	2.879976110e-2177
0.01	2.879976110e-2179
0.01	2.879976110e-2181
0.01	2.879976110e-2183
0.01	2.879976110e-2185
0.01	2.879976110e-2187
0.01	2.879976110e-2189
0.01	2.879976110e-2191
0.01	2.879976110e-2193
0.01	2.879976110e-2195
0.01	2.879976110e-2197
0.01	2.879976110e-2199
0.01	2.879976110e-2201
0.02	6.171684728e-1702
0.02	1.234336946e-1703
0.02	2.468673892e-1705
0.02	4.937347784e-1707
0.02	9.874695568e-1709
0.02	1.974939114e-1710
0.02	3.949878228e-1712
0.02	7.899756456e-1714
0.02	1.579951291e-1715
0.02	3.159902582e-1717
0.02	6.319805164e-1719
